date,group,rank,stock_id,change_0905,is_limit_up
2025-08-04,ABF,1,8046,-0.57,False
2025-08-04,ABF,2,3189,-0.97,False
2025-08-04,ABF,3,3037,-1.08,False
2025-08-04,BBU,1,3625,1.71,False
2025-08-04,BBU,2,3323,0.26,False
2025-08-04,BBU,3,6558,-0.41,False
2025-08-04,BBU,4,3211,-0.66,False
2025-08-04,BBU,5,6781,-0.83,False
2025-08-04,CCL,1,4939,0.78,False
2025-08-04,CCL,2,2383,0.45,False
2025-08-04,CCL,3,4989,0.21,False
2025-08-04,CCL,4,2368,-1.06,False
2025-08-04,CCL,5,6213,-1.21,False
2025-08-04,CPO,1,3265,1.13,False
2025-08-04,CPO,2,4908,-0.11,False
2025-08-04,CPO,3,6271,-0.96,False
2025-08-04,CPO,4,2489,-1.13,False
2025-08-04,CPO,5,3234,-1.13,False
2025-08-04,FOPLP,1,3535,0.15,False
2025-08-04,FOPLP,2,6640,-0.78,False
2025-08-04,FOPLP,3,8064,-0.79,False
2025-08-04,FOPLP,4,5443,-0.93,False
2025-08-04,FOPLP,5,3663,-1.42,False
2025-08-04,GPS,1,3306,5.42,False
2025-08-04,IC 零組件通路商,1,3033,1.3,False
2025-08-04,IC 零組件通路商,2,3209,0.27,False
2025-08-04,IC 零組件通路商,3,3702,-0.59,False
2025-08-04,IC 零組件通路商,4,3048,-0.78,False
2025-08-04,IC 零組件通路商,5,6227,-0.97,False
2025-08-04,IC封測,1,6257,0.13,False
2025-08-04,IC封測,2,3264,-0.65,False
2025-08-04,IC封測,3,6147,-0.73,False
2025-08-04,IC封測,4,2449,-0.83,False
2025-08-04,IC封測,5,3374,-1.62,False
2025-08-04,IC設計,1,6129,9.78,True
2025-08-04,IC設計,2,4968,1.95,False
2025-08-04,IC設計,3,6789,0.21,False
2025-08-04,IC設計,4,3228,0.0,False
2025-08-04,IC設計,5,6237,-0.12,False
2025-08-04,LED,1,5355,7.69,False
2025-08-04,LED,2,3339,6.77,False
2025-08-04,LED,3,3591,-0.57,False
2025-08-04,LED,4,2393,-0.57,False
2025-08-04,LED,5,8111,-0.8,False
2025-08-04,ODM,1,4938,0.0,False
2025-08-04,ODM,2,2324,-0.17,False
2025-08-04,ODM,3,2317,-0.55,False
2025-08-04,ODM,4,2382,-0.7,False
2025-08-04,ODM,5,3706,-1.42,False
2025-08-04,PCB 設備,1,2493,5.57,False
2025-08-04,PCB 設備,2,1595,0.84,False
2025-08-04,PCB 設備,3,3030,-0.33,False
2025-08-04,PCB 設備,4,3563,-0.6,False
2025-08-04,PCB 設備,5,6664,-1.35,False
2025-08-04,TFT 面板,1,8240,8.16,False
2025-08-04,TFT 面板,2,5245,1.05,False
2025-08-04,TFT 面板,3,3481,0.44,False
2025-08-04,TFT 面板,4,6246,0.38,False
2025-08-04,TFT 面板,5,2409,0.0,False
2025-08-04,不鏽鋼,1,2027,0.26,False
2025-08-04,不鏽鋼,2,5014,-0.98,False
2025-08-04,不鏽鋼,3,1584,-1.51,False
2025-08-04,不鏽鋼,4,2034,-1.62,False
2025-08-04,不鏽鋼,5,5009,-1.7,False
2025-08-04,低軌衛星,1,6152,0.9,False
2025-08-04,低軌衛星,2,2367,-0.54,False
2025-08-04,低軌衛星,3,3491,-0.73,False
2025-08-04,低軌衛星,4,2313,-0.92,False
2025-08-04,低軌衛星,5,6271,-0.96,False
2025-08-04,保健品,1,3705,0.16,False
2025-08-04,保健品,2,8436,-0.37,False
2025-08-04,保健品,3,6919,-0.41,False
2025-08-04,保健品,4,4128,-0.42,False
2025-08-04,保健品,5,1295,-0.86,False
2025-08-04,光學鏡頭指標,1,3019,5.45,False
2025-08-04,光學鏡頭指標,2,6209,2.46,False
2025-08-04,光學鏡頭指標,3,3630,1.07,False
2025-08-04,光學鏡頭指標,4,3504,0.74,False
2025-08-04,光學鏡頭指標,5,6517,-0.14,False
2025-08-04,光電,1,3019,5.45,False
2025-08-04,光電,2,6209,2.46,False
2025-08-04,光電,3,3504,0.74,False
2025-08-04,光電,4,6742,0.52,False
2025-08-04,光電,5,2406,0.38,False
2025-08-04,再生晶圓,1,8028,5.69,False
2025-08-04,再生晶圓,2,1560,-0.64,False
2025-08-04,半導體設備,1,3178,2.59,False
2025-08-04,半導體設備,2,6829,0.87,False
2025-08-04,半導體設備,3,6788,0.73,False
2025-08-04,半導體設備,4,3583,0.0,False
2025-08-04,半導體設備,5,6937,-0.72,False
2025-08-04,印刷電路板,1,6234,5.73,False
2025-08-04,印刷電路板,2,3645,5.07,False
2025-08-04,印刷電路板,3,4958,0.41,False
2025-08-04,印刷電路板,4,2402,0.13,False
2025-08-04,印刷電路板,5,6108,0.0,False
2025-08-04,塑膠,1,3294,2.62,False
2025-08-04,塑膠,2,4303,-0.37,False
2025-08-04,塑膠,3,1307,-2.21,False
2025-08-04,塑膠,4,1308,-2.92,False
2025-08-04,塑膠,5,1309,-3.06,False
2025-08-04,太陽能,1,2406,0.38,False
2025-08-04,太陽能,2,6869,-0.71,False
2025-08-04,太陽能,3,6477,-1.04,False
2025-08-04,太陽能,4,3691,-1.33,False
2025-08-04,太陽能,5,6244,-1.64,False
2025-08-04,工具機,1,4526,1.04,False
2025-08-04,工具機,2,4510,0.64,False
2025-08-04,工具機,3,4562,-0.55,False
2025-08-04,工具機,4,1540,-1.28,False
2025-08-04,工具機,5,6609,-1.41,False
2025-08-04,工業電腦,1,3521,3.86,False
2025-08-04,工業電腦,2,2405,0.0,False
2025-08-04,工業電腦,3,5258,-0.28,False
2025-08-04,工業電腦,4,2395,-0.63,False
2025-08-04,工業電腦,5,3416,-0.66,False
2025-08-04,廠務,1,6667,-0.2,False
2025-08-04,廠務,2,6139,-0.76,False
2025-08-04,廠務,3,2404,-0.85,False
2025-08-04,廠務,4,6691,-0.93,False
2025-08-04,廠務,5,5536,-1.52,False
2025-08-04,探針卡,1,6217,-1.75,False
2025-08-04,探針卡,2,6223,-1.94,False
2025-08-04,散熱,1,3338,2.21,False
2025-08-04,散熱,2,3013,1.6,False
2025-08-04,散熱,3,6805,0.87,False
2025-08-04,散熱,4,3324,-0.3,False
2025-08-04,散熱,5,2421,-0.43,False
2025-08-04,晶圓代工,1,2303,-0.73,False
2025-08-04,晶圓代工,2,5347,-0.84,False
2025-08-04,晶圓代工,3,2330,-0.88,False
2025-08-04,板卡,1,3515,0.85,False
2025-08-04,板卡,2,6150,0.15,False
2025-08-04,板卡,3,2377,0.0,False
2025-08-04,板卡,4,2376,-0.36,False
2025-08-04,模具沖壓,1,1569,4.9,False
2025-08-04,模具沖壓,2,1586,0.0,False
2025-08-04,模具沖壓,3,5284,-0.25,False
2025-08-04,模具沖壓,4,8071,-0.56,False
2025-08-04,模具沖壓,5,4942,-0.67,False
2025-08-04,機器人,1,4555,8.11,False
2025-08-04,機器人,2,3019,5.45,False
