date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount
2025-01-03,3694,海華,61.9,503051606.9,2000000,1315385312.0
2025-01-06,3491,昇達科,355.5,691383303.8,3000000,2321613433.0
2025-01-06,6215,和椿,103.0,1777217985.95,7000000,2510608006.0
2025-01-07,4974,亞泰,144.0,770109637.05,3000000,1002000811.0
2025-01-07,6446,藥華藥,677.0,711611766.4,3000000,3746700874.0
2025-01-07,6558,興能高,41.0,957686257.85,4000000,624263878.0
2025-01-08,3363,上詮,296.0,1169130520.2,4500000,6010432111.0
2025-01-08,3491,昇達科,394.5,889908767.65,3500000,3129181233.0
2025-01-09,4991,環宇-KY,130.5,2885400146.45,12000000,2292227183.0
2025-01-15,6683,雍智科技,511.0,617717402.9,2500000,1367909095.0
2025-01-17,3374,精材,232.5,988497360.0,4000000,5065848105.0
2025-01-17,3450,聯鈞,317.5,8583666268.15,34000000,12170487696.0
2025-01-17,4991,環宇-KY,139.5,3555903965.7,14000000,3305487301.0
2025-01-17,6187,萬潤,396.0,1234111272.65,5000000,1761184962.0
2025-01-17,6215,和椿,105.5,2723949003.2,11000000,2002522655.0
2025-01-17,6558,興能高,51.4,2062027758.8,8000000,4187513371.0
2025-01-17,8111,立碁,51.3,1130151603.15,4500000,904178840.0
2025-01-21,3665,貿聯-KY,617.0,2109642687.8,8500000,2725670915.0
2025-01-21,4931,新盛力,75.3,3077284674.55,12000000,4215128785.0
2025-01-21,6215,和椿,116.5,2986497305.7,12000000,4262707049.0
2025-01-21,6558,興能高,56.2,2437581502.8,10000000,3311056456.0
2025-01-22,4979,華星光,220.5,5077964261.8,20000000,7995266428.0
2025-02-03,3264,欣銓,68.9,954406110.4,4000000,2308828656.0
2025-02-03,3706,神達,73.0,2379425828.45,9500000,10064195568.0
2025-02-03,4979,華星光,242.5,5382921552.6,22000000,12203856351.0
2025-02-06,2472,立隆電,97.3,736803202.2,3000000,807269329.0
2025-02-06,3019,亞光,176.0,2646935960.7,11000000,5655553915.0
2025-02-06,3088,艾訊,141.0,510770302.15,2000000,828969145.0
2025-02-06,3376,新日興,237.0,757340969.05,3000000,4779956981.0
2025-02-06,4576,大銀微系統,160.0,1439606701.45,6000000,2468701747.0
2025-02-06,4583,台灣精銳,850.0,2039849247.65,8000000,1395965521.0
2025-02-06,4974,亞泰,116.5,749751123.1,3000000,443745911.0
2025-02-06,6191,精成科,69.7,1508822988.35,6000000,885087830.0
2025-02-06,6215,和椿,120.0,2991981766.05,12000000,2363095784.0
2025-02-06,6223,旺矽,820.0,2781376856.85,11000000,2885608354.0
2025-02-06,6438,迅得,232.0,676757493.9,2500000,773880327.0
2025-02-07,1815,富喬,31.4,803644634.9,3000000,2906662296.0
2025-02-07,3294,英濟,40.95,524947905.1,2000000,402188196.0
2025-02-07,3645,達邁,77.9,2796356385.5,11000000,2500886638.0
2025-02-10,1815,富喬,34.5,930313817.9,3500000,8484912618.0
2025-02-10,3029,零壹,150.5,1164696423.95,4500000,5549203416.0
2025-02-10,4979,華星光,250.5,7082694243.1,28000000,9539150428.0
2025-02-10,4991,環宇-KY,145.0,2938976945.1,12000000,3957448917.0
2025-02-11,2027,大成鋼,41.9,631253831.85,2500000,3406460058.0
2025-02-12,3450,聯鈞,338.5,9257889206.5,37000000,12138148960.0
2025-02-12,6442,光聖,602.0,1098081286.45,4500000,3009489230.0
2025-02-13,2543,皇昌,102.0,1360067983.15,5500000,5653883474.0
2025-02-14,2408,南亞科,30.65,563554625.25,2500000,833712950.0
2025-02-14,6415,矽力*-KY,389.0,766986652.85,3000000,2767664700.0
2025-02-14,8028,昇陽半導體,133.5,861164570.85,3500000,2475023239.0
2025-02-17,3376,新日興,283.0,2064799254.2,8500000,6922849767.0
2025-02-18,1536,和大,78.7,569753506.4,2500000,4858155099.0
2025-02-18,3379,彬台,57.8,686123438.45,2500000,243772812.0
2025-02-18,8234,新漢,87.8,547989800.5,2000000,1858903372.0
2025-02-19,3379,彬台,63.5,695857425.5,3000000,267376955.0
2025-02-19,4772,台特化,232.5,788429706.2,3000000,1170129720.0
2025-02-19,6206,飛捷,151.5,644832768.7,2500000,1686810280.0
