日期,代碼,名稱,成交金額
2025-01-02,3694,海華,1315385312.0
2025-01-03,6215,和椿,2510608006.0
2025-01-03,3491,昇達科,2321613433.0
2025-01-03,6191,精成科,5757454964.0
2025-01-06,6781,AES-KY,5179176915.0
2025-01-06,6558,興能高,624263878.0
2025-01-06,4974,亞泰,1002000811.0
2025-01-06,6446,藥華藥,3746700874.0
2025-01-06,6706,惠特,639799414.0
2025-01-07,3363,上詮,6010432111.0
2025-01-07,3491,昇達科,3129181233.0
2025-01-07,6515,穎崴,1569582300.0
2025-01-07,6683,雍智科技,1265079917.0
2025-01-08,4991,環宇-KY,2292227183.0
2025-01-08,3645,達邁,2397614082.0
2025-01-10,3264,欣銓,1231788990.0
2025-01-14,6683,雍智科技,1367909095.0
2025-01-14,3551,世禾,1356084456.0
2025-01-15,3363,上詮,611828744.0
2025-01-15,2543,皇昌,807091581.0
2025-01-16,3450,聯鈞,12170487696.0
2025-01-16,4991,環宇-KY,3305487301.0
2025-01-16,6215,和椿,2002522655.0
2025-01-16,6558,興能高,4187513371.0
2025-01-16,3363,上詮,671530120.0
2025-01-16,6187,萬潤,1761184962.0
2025-01-16,8111,立碁,904178840.0
2025-01-16,3374,精材,5065848105.0
2025-01-16,6706,惠特,558490155.0
2025-01-16,4912,聯德控股-KY,591500554.0
2025-01-17,5392,能率,289269129.0
2025-01-17,3379,彬台,2761478505.0
2025-01-20,6781,AES-KY,3361299410.0
2025-01-20,4931,新盛力,4215128785.0
2025-01-20,6215,和椿,4262707049.0
2025-01-20,6558,興能高,3311056456.0
2025-01-20,3665,貿聯-KY,2725670915.0
2025-01-20,4772,台特化,672425251.0
2025-01-21,4979,華星光,7995266428.0
2025-01-22,4979,華星光,12203856351.0
2025-01-22,3706,神達,10064195568.0
2025-01-22,3264,欣銓,2308828656.0
2025-02-04,3661,世芯-KY,12624330460.0
2025-02-04,8054,,354830870.0
2025-02-05,6215,和椿,2363095784.0
2025-02-05,6223,旺矽,2885608354.0
2025-02-05,3019,亞光,5655553915.0
2025-02-05,4583,台灣精銳,1395965521.0
2025-02-05,6191,精成科,885087830.0
2025-02-05,4576,大銀微系統,2468701747.0
2025-02-05,3376,新日興,4779956981.0
2025-02-05,4974,亞泰,443745911.0
2025-02-05,2472,立隆電,807269329.0
2025-02-05,6438,迅得,773880327.0
2025-02-05,3088,艾訊,828969145.0
2025-02-05,2395,研華,2451622479.0
2025-02-05,4540,全球傳動,320466436.0
2025-02-06,3645,達邁,2500886638.0
2025-02-06,3363,上詮,448819299.0
2025-02-06,1815,富喬,2906662296.0
2025-02-06,3294,英濟,402188196.0
2025-02-06,6742,澤米,414600272.0
2025-02-07,4979,華星光,9539150428.0
2025-02-07,4991,環宇-KY,3957448917.0
2025-02-07,5269,祥碩,4492434635.0
2025-02-07,2059,川湖,2667753145.0
2025-02-07,3029,零壹,5549203416.0
2025-02-07,1815,富喬,8484912618.0
2025-02-07,8234,新漢,1049163259.0
2025-02-10,2027,大成鋼,3406460058.0
2025-02-10,4571,鈞興-KY,763720068.0
2025-02-11,3450,聯鈞,12138148960.0
2025-02-11,6442,光聖,3009489230.0
2025-02-11,8096,擎亞,924303821.0
2025-02-11,8234,新漢,923403040.0
2025-02-12,2543,皇昌,5653883474.0
2025-02-13,8028,昇陽半導體,2475023239.0
2025-02-13,6415,矽力*-KY,2767664700.0
2025-02-13,2408,南亞科,833712950.0
2025-02-13,6706,惠特,526262827.0
2025-02-14,3376,新日興,6922849767.0
2025-02-14,8096,擎亞,437066421.0
2025-02-14,1605,華新,3434788796.0
2025-02-17,3379,彬台,243772812.0
2025-02-17,1536,和大,4858155099.0
2025-02-17,8234,新漢,1858903372.0
2025-02-18,8028,昇陽半導體,6764203197.0
2025-02-18,4772,台特化,1170129720.0
2025-02-18,3379,彬台,267376955.0
2025-02-18,6206,飛捷,1686810280.0
2025-02-18,8096,擎亞,359365863.0
2025-02-18,5371,中光電,2850361798.0
2025-02-18,2250,IKKA-KY,529370514.0
2025-02-19,2408,南亞科,2879770249.0
2025-02-19,6206,飛捷,2195214003.0
2025-02-19,4971,IET-KY,126367481.0
2025-02-19,2468,華經,677942838.0
2025-02-19,6140,訊達,426137355.0
2025-02-19,4916,事欣科,1544581062.0
2025-02-19,6768,,970242008.0
2025-02-20,1519,華城,10568770274.0
2025-02-20,3558,神準,1653863846.0
2025-02-21,3379,彬台,742189396.0
2025-02-21,4916,事欣科,3505003864.0
2025-02-21,4510,高鋒,2030715883.0
2025-02-21,5347,世界,2628787334.0
2025-02-21,4303,信立,1865503301.0
2025-02-21,1569,濱川,2263524958.0
2025-02-21,9802,,1144377113.0
2025-02-24,4931,新盛力,1802609591.0
2025-02-24,2606,裕民,5384912320.0
2025-02-24,4510,高鋒,3650967256.0
2025-02-24,3379,彬台,3554862250.0
2025-02-24,2637,慧洋-KY,2719224353.0
2025-02-24,3059,華晶科,1924259454.0
2025-02-26,2383,台光電,9019631212.0
