date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount,is_disposal
2025-01-03,3694,海華,61.9,503051606,2000000,1315385312,-
2025-01-06,6215,和椿,103.0,1777217985,7000000,2510608006,-
2025-01-06,3491,昇達科,355.5,691383303,3000000,2321613433,-
2025-01-07,6558,興能高,41.0,957686257,4000000,624263878,-
2025-01-07,4974,亞泰,144.0,770109637,3000000,1002000811,-
2025-01-07,6446,藥華藥,677.0,711611766,3000000,3746700874,-
2025-01-08,3363,上詮,296.0,1169130520,4500000,6010432111,-
2025-01-08,3491,昇達科,394.5,889908767,3500000,3129181233,-
2025-01-09,4991,環宇-KY,130.5,2885400146,12000000,2292227183,-
2025-01-15,6683,雍智科技,511.0,617717402,2500000,1367909095,-
2025-01-17,3450,聯鈞,317.5,8583666268,34000000,12170487696,-
2025-01-17,4991,環宇-KY,139.5,3555903965,14000000,3305487301,-
2025-01-17,6215,和椿,105.5,2723949003,11000000,2002522655,-
2025-01-17,6558,興能高,51.4,2062027758,8000000,4187513371,-
2025-01-17,6187,萬潤,396.0,1234111272,5000000,1761184962,-
2025-01-17,8111,立碁,51.3,1130151603,4500000,904178840,-
2025-01-17,3374,精材,232.5,988497360,4000000,5065848105,-
2025-01-21,4931,新盛力,75.3,3077284674,12000000,4215128785,-
2025-01-21,6215,和椿,116.5,2986497305,12000000,4262707049,-
2025-01-21,6558,興能高,56.2,2437581502,10000000,3311056456,-
2025-01-21,3665,貿聯-KY,617.0,2109642687,8500000,2725670915,-
2025-01-22,4979,華星光,220.5,5077964261,20000000,7995266428,-
2025-02-03,4979,華星光,242.5,5382921552,22000000,12203856351,-
2025-02-03,3706,神達,73.0,2379425828,9500000,10064195568,-
2025-02-03,3264,欣銓,68.9,954406110,4000000,2308828656,-
2025-02-06,6215,和椿,120.0,2991981766,12000000,2363095784,-
2025-02-06,6223,旺矽,820.0,2781376856,11000000,2885608354,-
2025-02-06,3019,亞光,176.0,2646935960,11000000,5655553915,-
2025-02-06,4583,台灣精銳,850.0,2039849247,8000000,1395965521,-
2025-02-06,6191,精成科,69.7,1508822988,6000000,885087830,-
2025-02-06,4576,大銀微系統,160.0,1439606701,6000000,2468701747,-
2025-02-06,3376,新日興,237.0,757340969,3000000,4779956981,-
2025-02-06,4974,亞泰,116.5,749751123,3000000,443745911,-
2025-02-06,2472,立隆電,97.3,736803202,3000000,807269329,-
2025-02-06,6438,迅得,232.0,676757493,2500000,773880327,-
2025-02-06,3088,艾訊,141.0,510770302,2000000,828969145,-
2025-02-07,3645,達邁,77.9,2796356385,11000000,2500886638,-
2025-02-07,1815,富喬,31.4,803644634,3000000,2906662296,-
2025-02-07,3294,英濟,40.95,524947905,2000000,402188196,-
2025-02-10,4979,華星光,250.5,7082694243,28000000,9539150428,-
2025-02-10,4991,環宇-KY,145.0,2938976945,12000000,3957448917,-
2025-02-10,3029,零壹,150.5,1164696423,4500000,5549203416,-
