date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount,is_disposal
2025-01-03,6191,精成科,63.2,297943517,1000000,1214615522,-
2025-01-03,9941,裕融,114.0,275030845,1000000,416652808,-
2025-01-03,3535,晶彩科,55.6,76665824,1000000,200926234,-
2025-01-03,6245,,103.5,61044685,1000000,1121591675,-
2025-01-03,6791,虎門科技,149.5,42423116,1000000,49017142,-
2025-01-03,6141,柏承,17.35,28936044,1000000,82032987,-
2025-01-03,2431,聯昌,15.25,26903441,1000000,65667948,-
2025-01-03,2241,艾姆勒,30.45,13464862,1000000,69886143,-
2025-01-03,6874,倍力,103.5,13390751,1000000,31861617,-
2025-01-03,2736,富野,22.35,10760292,1000000,19813242,-
2025-01-03,6477,安集,30.95,6055503,1000000,22491189,-
2025-01-03,2516,新建,14.1,5432995,1000000,62588510,-
2025-01-03,2719,燦星旅,49.55,3246008,1000000,7925702,-
2025-01-03,2491,吉祥全,14.9,702342,1000000,10806953,-
2025-01-03,2924,宏太-KY,30.35,431433,1000000,3172420,-
2025-01-06,6191,精成科,69.5,351383754,1500000,5757454964,-
2025-01-06,2070,精湛,78.7,84015625,1000000,121440115,-
2025-01-06,6928,攸泰科技,79.3,41442303,1000000,266041421,-
2025-01-06,3701,大眾控,43.25,31643120,1000000,209911262,-
2025-01-06,1325,恆大,31.65,21332352,1000000,80592008,-
2025-01-06,3055,蔚華科,68.9,19188340,1000000,104862114,-
2025-01-06,6477,安集,34.0,6888400,1000000,33060750,-
2025-01-06,3527,聚積,74.3,3655170,1000000,11920792,-
2025-01-06,8045,達運光電,86.5,0,1000000,112231868,-
2025-01-07,6706,惠特,133.5,381558051,1500000,639799414,-
2025-01-07,3025,星通,88.0,249741463,1000000,1994414552,-
2025-01-07,3088,艾訊,123.0,247837148,1000000,918721403,-
2025-01-07,6112,邁達特,54.1,186276096,1000000,258471317,-
2025-01-07,3645,達邁,54.8,140835467,1000000,879073458,-
2025-01-07,3294,英濟,36.5,63154884,1000000,274412598,-
2025-01-07,6237,驊訊,54.8,59967779,1000000,53813843,-
2025-01-07,6791,虎門科技,167.0,43153208,1000000,137395657,-
2025-01-07,3625,西勝,18.4,39531017,1000000,46966019,-
2025-01-07,3564,,80.7,26930142,1000000,75335496,-
2025-01-07,6168,宏齊,24.2,26318590,1000000,175221904,-
2025-01-07,1304,台聚,11.55,23295350,1000000,79709998,-
2025-01-07,6477,安集,37.4,8336127,1000000,73677544,-
2025-01-07,6144,得利影,30.15,1870892,1000000,3787853,-
2025-01-07,5278,,37.05,0,1000000,64556766,-
2025-01-07,7712,博盛半導體,280.5,0,1000000,265091616,-
2025-01-07,8045,達運光電,95.1,0,1000000,73993277,-
2025-01-08,6683,雍智科技,469.0,339371888,1500000,1265079917,-
2025-01-08,6859,伯特光,201.5,142779605,1000000,236780952,-
2025-01-08,5484,慧友,67.9,129677960,1000000,280827963,-
2025-01-08,6456,GIS-KY,53.5,25370743,1000000,169732703,-
2025-01-08,6672,騰輝電子-KY,70.5,11308894,1000000,33245995,-
2025-01-08,6568,宏觀,130.0,4459149,1000000,49017130,-
2025-01-08,6144,得利影,33.15,1999908,1000000,3018875,-
2025-01-09,3645,達邁,64.6,347196783,1500000,2397614082,-
2025-01-09,1524,耿鼎,40.35,236627810,1000000,830042020,-
2025-01-09,1325,恆大,34.95,44557865,1000000,354533422,-
2025-01-09,6672,騰輝電子-KY,77.5,12293857,1000000,368516516,-
2025-01-09,6525,捷敏-KY,71.0,10200425,1000000,87765565,-
2025-01-09,3373,熱映,25.35,8957662,1000000,56913269,-
2025-01-09,4109,加捷生醫,21.75,8679924,1000000,23521914,-
2025-01-09,6144,得利影,36.45,2103123,1000000,3067195,-
2025-01-09,6552,易華電,39.9,1757818,1000000,18972902,-
2025-01-09,6697,東捷資訊,49.95,1697436,1000000,18138502,-
2025-01-09,6751,智聯服務,60.7,1184057,1000000,13754373,-
2025-01-10,6231,系微,408.0,253174584,1000000,883890224,-
2025-01-10,6535,順藥,266.0,188850270,1000000,452075330,-
2025-01-10,6742,澤米,74.8,109574694,1000000,704421473,-
2025-01-10,5426,振發,32.9,67431973,1000000,119241133,-
2025-01-10,1325,恆大,38.4,62011103,1000000,797978558,-
2025-01-10,6547,高端疫苗,40.8,41303351,1000000,272217157,-
2025-01-10,1732,毛寶,33.7,33301854,1000000,366729399,-
2025-01-10,4142,國光生,22.9,31030651,1000000,262565810,-
