date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount,is_disposal
2025-01-03,1597,直得,124.5,800734880,3000000,6436964242,-
2025-01-06,4979,華星光,205.5,4128904776,17000000,13013346207,-
2025-01-08,4576,大銀微系統,143.5,1873484383,7500000,2908684831,-
2025-01-08,6223,旺矽,985.0,1819376525,7500000,5837364520,-
2025-01-10,6558,興能高,46.9,1125572307,4500000,4747454224,-
2025-01-13,6558,興能高,48.2,1314568104,5500000,6198635769,-
2025-01-17,4979,華星光,205.0,4928356227,20000000,6961722559,-
2025-01-17,6451,訊芯-KY,254.0,1646443343,6500000,3364574149,-
2025-01-21,2498,宏達電,55.6,1295952363,5000000,5238600296,-
2025-01-21,6285,啟碁,143.5,1060549243,4000000,2412675017,-
2025-02-03,3211,順達,204.5,4175540124,17000000,4191327654,-
2025-02-03,3491,昇達科,453.0,1534643042,6000000,4266439821,-
2025-02-04,3029,零壹,129.5,741751401,3000000,3707717079,-
2025-02-06,4991,環宇-KY,125.5,3195549182,13000000,2438474039,-
2025-02-07,6215,和椿,131.5,3052299948,12000000,4018224615,-
2025-02-07,3264,欣銓,77.5,1340458407,5500000,4514757536,-
2025-02-07,3088,艾訊,148.0,539686236,2000000,2802540678,-
2025-02-10,6191,精成科,75.2,1512796959,6000000,2470383471,-
2025-02-10,6112,邁達特,73.0,784078916,3000000,5283705690,-
2025-02-12,3019,亞光,193.0,4334926288,17000000,14636861143,-
2025-02-12,4974,亞泰,125.5,557058396,2000000,1487408877,-
2025-02-13,3645,達邁,85.1,3468304727,14000000,6916315826,-
2025-02-13,6446,藥華藥,766.0,1869969854,7500000,8782459090,-
2025-02-13,3294,英濟,40.45,577968055,2500000,826643280,-
2025-02-13,1597,直得,109.5,544968055,2000000,1449526415,-
2025-02-13,6742,澤米,78.2,512283785,2000000,1353342289,-
2025-02-14,2002,中鋼,21.9,567017955,2500000,2568400954,-
2025-02-18,3374,精材,201.5,2183430936,8500000,3065192385,-
2025-02-18,5439,高技,132.0,588853845,2500000,4643736640,-
2025-02-19,3605,宏致,66.5,581402764,2500000,1959844045,-
2025-02-20,3013,晟銘電,141.5,863251808,3500000,2566977468,-
2025-02-24,6206,飛捷,172.5,1230293829,5000000,4939659132,-
2025-02-25,6558,興能高,63.8,1997578256,8000000,2673905557,-
2025-02-25,6104,創惟,178.0,725268747,3000000,1508641587,-
2025-02-26,4510,高鋒,61.9,868763333,3500000,8971464462,-
2025-02-26,3379,彬台,70.9,716594976,3000000,3741368586,-
2025-02-27,1569,濱川,80.0,699960819,3000000,3007844163,-
2025-03-03,2637,慧洋-KY,82.9,955753161,4000000,6960125677,-
2025-03-05,1569,濱川,84.0,1016096072,4000000,4677526039,-
2025-03-07,3211,順達,188.0,1215119935,5000000,5427863070,-
2025-03-07,5314,世紀*,982.0,661586604,2500000,2387924825,-
2025-03-10,2408,南亞科,39.95,2508401633,10000000,3615313692,-
2025-03-11,2468,華經,40.9,728087832,3000000,1901786576,-
2025-03-13,3450,聯鈞,266.0,6220026766,25000000,7001369398,-
2025-03-13,4931,新盛力,88.5,2030992601,8000000,11816958941,-
2025-03-18,3163,波若威,183.0,2263827923,9000000,5170489868,-
